checked_at,asin,keyword,domain,position,organic_position,page,sponsored,title,price,rating
2026-09-06T05:18:19+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-06T05:18:19+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-07T05:27:05+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-07T05:27:05+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-08T05:27:29+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-08T05:27:29+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-09T05:33:38+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-09T05:33:38+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-10T05:26:39+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-10T05:26:39+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-11T05:25:21+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-11T05:25:21+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-12T05:15:48+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-12T05:15:48+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-13T05:29:56+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-13T05:29:56+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
2026-09-14T05:34:22+00:00,B0DYTF8L2W,wireless earbuds,www.amazon.com,,,,0,,,
2026-09-14T05:34:22+00:00,B0DYTF8L2W,bluetooth earbuds,www.amazon.com,,,,0,,,
